Last_Updat,Age_F_Less,Age_F_01_0,Age_F_10_1,Age_F_20_2,Age_F_30_3,Age_F_40_4,Age_F_50_5,Age_F_60_6,Age_F_70_7,Age_F_80Pl,Age_F_Unk,Age_M_Less,Age_M_01_0,Age_M_10_1,Age_M_20_2,Age_M_30_3,Age_M_40_4,Age_M_50_5,Age_M_60_6,Age_M_70_7,Age_M_80Pl,Age_M_Unk,Age_Ttl_Le,Age_Ttl_01,Age_Ttl_10,Age_Ttl_20,Age_Ttl_30,Age_Ttl_40,Age_Ttl_50,Age_Ttl_60,Age_Ttl_70,Age_Ttl_80,Age_Ttl_Un,Sex_Ttl_F,Sex_Ttl_M,Sex_Ttl_Un,Race_Asian,Race_Black,Race_White,Race_Other,Race_Unk,Eth_Non_Hi,Eth_Hispan,Eth_Unk,FID,Record_Status,AmerIndAska,PacificIslander
2021/04/05 21:00:00+00,214,1624,4353,10763,8242,5984,4500,2638,1385,1059,0,267,1677,3910,9763,8146,5884,4493,2625,1202,634,0,484,3320,8288,20621,16443,11903,9023,5272,2594,1697,0,40762,38601,282,2.996,7.525,56.972,14.632,17.38,36.323,45.026,18.651,364,Past,0.38,0.115
2021/04/06 21:00:00+00,214,1625,4360,10783,8256,5994,4506,2644,1387,1060,0,268,1680,3920,9784,8161,5897,4498,2628,1204,634,0,485,3324,8305,20663,16472,11927,9034,5281,2598,1698,0,40829,38674,284,2.99,7.533,56.974,14.637,17.37,36.353,45,18.647,365,Past,0.379,0.117
2021/04/07 21:00:00+00,214,1628,4368,10801,8273,6002,4510,2645,1392,1061,0,267,1685,3929,9804,8178,5902,4509,2632,1204,634,0,484,3332,8322,20701,16506,11940,9049,5286,2603,1699,0,40894,38744,284,2.995,7.533,56.956,14.644,17.369,36.366,44.957,18.677,366,Past,0.383,0.117
2021/04/08 21:00:00+00,214,1629,4376,10821,8280,6011,4516,2647,1393,1061,0,267,1687,3932,9824,8193,5909,4513,2634,1205,634,0,485,3335,8333,20741,16528,11956,9059,5290,2605,1699,0,40948,38798,285,2.997,7.531,56.97,14.633,17.369,36.405,44.917,18.677,367,Past,0.382,0.117
2021/04/09 21:00:00+00,214,1632,4378,10833,8290,6017,4519,2651,1395,1061,0,267,1688,3938,9838,8290,6017,4514,2635,1205,634,0,485,3339,8341,20767,16557,11970,9063,5295,2607,1699,0,40990,38847,286,2.993,7.522,56.97,14.627,17.382,36.42,44.886,18.694,368,Past,0.386,0.119
2021/04/10 21:00:00+00,216,1636,4386,10861,8303,6029,4521,2657,1396,1061,0,267,1698,3945,9857,8223,5927,4519,2642,1206,635,0,487,3353,8356,20814,16582,11992,9070,5309,2609,1700,0,41066,38919,287,2.989,7.542,56.964,14.617,17.383,36.429,44.85,18.721,369,Past,0.386,0.119
2021/04/11 21:00:00+00,217,1639,4408,10881,8325,6035,4531,2660,1398,1061,1,268,1706,3958,9875,8235,5943,4526,2649,1207,635,0,489,3364,8391,20852,16617,12014,9087,5319,2612,1700,1,41156,39002,308,2.987,7.545,56.955,14.613,17.395,36.44,44.834,18.727,370,Past,0.386,0.119
2021/04/12 21:00:00+00,218,1644,4417,10894,8329,6038,4533,2661,1398,1063,0,268,1706,3960,9897,8246,5948,4531,2650,1208,635,0,490,3369,8402,20888,16632,12022,9094,5321,2613,1702,0,41195,39049,298,2.987,7.556,56.944,14.611,17.398,36.446,44.805,18.75,371,Past,0.385,0.118
2021/04/13 21:00:00+00,218,1649,4421,10905,8340,6048,4541,2661,1399,1063,0,269,1714,3968,9913,8258,5956,4534,2651,1209,636,0,491,3382,8414,20915,16655,12040,9105,5322,2615,1703,0,41245,39108,289,2.996,7.557,56.937,14.595,17.408,36.486,44.753,18.761,372,Past,0.386,0.121
2021/04/14 21:00:00+00,219,1656,4433,10917,8350,6055,4557,2664,1403,1064,1,271,1723,3980,9934,8274,5965,4541,2656,1209,637,0,494,3398,8438,20949,16681,12056,9128,5330,2619,1705,1,41319,39190,289,3,7.559,56.952,14.591,17.39,36.5,44.746,18.754,373,Past,0.388,0.12
2021/04/15 21:00:00+00,219,1659,4441,10928,8361,6065,4565,2666,1405,1064,0,272,1729,3987,9951,8281,5971,4547,2659,1210,639,0,495,3407,8453,20977,16699,12072,9142,5335,2622,1707,0,41373,39246,290,2.998,7.57,56.943,14.563,17.414,36.49,44.684,18.825,374,Past,0.389,0.122
2021/04/16 21:00:00+00,219,1660,4445,10942,8372,6069,4566,2669,1405,1064,0,272,1731,3992,9967,8292,5983,4548,2662,1213,639,0,495,3410,8462,21007,16721,12088,9146,5341,2625,1707,0,41411,39299,292,3.005,7.573,56.948,14.549,17.41,36.51,44.662,18.827,375,Past,0.391,0.122
